registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS55557,8.107,6.454
SPUS63654,10.3,6.261
SPUS53075,5.522,6.276
SPUS55016,4.979,5.544
SPUS55623,15.675,6.55
SPUS62584,6.233,8.064
SPUS55026,4.488,4.888
SPUS55656,4.929,9.885
SPUS63912,5.139,6.646
SPUS56056,13.438,5.717
SPUS56452,4.293,5.397
SPUS45858,7.562,17.528
SPUS62275,7.425,5.536
SPUS55830,7.95,5.439
SPUS63637,10.979,5.674
SPUS45783,10.852,5.164
SPUS55946,6.498,7.474
SPUS61751,6.014,12.479
SPUS63743,4.944,9.471
SPUS46575,7.18,7.773
SPUS61369,4.827,6.409
SPUS55755,7.633,5.893
SPUS56306,5.386,4.98
SPUS61912,4.369,8.259
SPUS45788,8.368,5.481
SPUS61518,12.126,4.811
SPUS46500,8.612,5.659
SPUS54889,6.569,5.333
SPUS55397,9.693,6.151
SPUS47097,4.78,8.602
SPUS55568,5.687,4.775
SPUS55919,4.741,10.673
SPUS55643,8.725,5.316
SPUS62248,21.148,6.22
SPUS46211,6.826,8.439
SPUS63784,5.936,5.954
SPUS61453,3.999,8.845
SPUS47277,9.219,4.908
SPUS56335,5.203,6.363
SPUS62722,11.961,5.364
SPUS62088,4.746,5.292
SPUS56394,7.041,7.285
SPUS54940,4.26,5.792
SPUS61398,6.768,7.839
SPUS63348,8.892,5.666
SPUS46287,4.916,4.97
SPUS61749,4.549,4.768
SPUS56080,7.271,8.151
SPUS46428,5.994,4.571
SPUS63653,5.547,5.193
SPUS56243,5.369,6.129
SPUS62462,5.491,5.174
SPUS55776,5.174,4.581
SPUS54773,10.612,5.065
SPUS54725,4.539,5.018
SPUS56200,4.456,4.791
SPUS63630,19.013,9.549
SPUS61584,14.41,5.407
SPUS55746,5.121,6.178
SPUS46319,5.306,6.139
SPUS61499,6.583,7.29
SPUS46974,5.162,5.002
SPUS61861,10.884,5.748
SPUS54776,16.681,5.451
SPUS55698,6.057,5.707
SPUS52118,10.456,4.782
SPUS54751,10.22,5.964
SPUS55187,31.16,9.646
SPUS46397,6.088,9.513
SPUS63890,4.953,9.2
SPUS46684,9.495,6.075
SPUS55029,8.475,5.9
SPUS61353,4.538,7.584
SPUS56488,5.754,5.966
SPUS55754,6.337,7.948
SPUS63873,4.226,6.8
SPUS55695,8.078,8.41
SPUS55086,4.558,9.136
SPUS47363,11.468,5.547
SPUS56045,13.611,10.451
SPUS61706,10.672,6.413
SPUS45972,11.603,6.556
SPUS61315,5.183,6.794
SPUS55134,7.949,6.004
SPUS56112,5.423,6.463
SPUS55259,11.186,6.038
SPUS60581,5.398,5.492
SPUS46045,4.957,6.202
SPUS54745,10.326,6.152
SPUS61536,30.014,6.115
SPUS63973,7.834,6.252
SPUS54982,6.504,6.185
SPUS46709,6.701,7.119
SPUS47397,18.558,5.175
SPUS63700,11.703,5.93
SPUS55781,6.09,10.646
SPUS56025,5.968,15.279
SPUS55564,4.533,5.733
SPUS63945,5.853,5.904
SPUS56326,10.110,13.818
