registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS61704,5.375,6.849
SPUS47277,5.866,6.504
SPUS56265,6.028,5.662
SPUS55727,5.335,6.471
SPUS56040,5.536,4.946
SPUS46974,9.358,5.218
SPUS55123,5.566,9.368
SPUS61864,8.377,5.604
SPUS55520,6.602,12.996
SPUS55980,8.318,8.499
SPUS55741,7.376,6.045
SPUS54900,12.352,8.387
SPUS54507,7.114,8.55
SPUS55119,11.373,4.65
SPUS55785,9.241,7.371
SPUS47251,20.332,6.009
SPUS46459,19.69,14.209
SPUS56292,6.953,6.212
SPUS62518,14.768,8.257
SPUS63724,7.322,6.988
SPUS45715,6.703,9.879
SPUS56196,6.399,11.53
SPUS55225,6.056,8.794
SPUS56306,8.713,6.524
SPUS54792,12.377,7.025
SPUS56218,7.126,14.222
SPUS61359,5.544,6.882
SPUS55704,8.085,7.467
SPUS46500,5.555,5.47
SPUS46542,6.34,6.408
SPUS55553,7.0,7.39
SPUS62593,6.919,7.72
SPUS56202,13.127,6.076
SPUS55249,7.376,5.411
SPUS61296,5.601,5.101
SPUS55164,5.768,14.851
SPUS54863,11.687,8.691
SPUS55965,8.327,7.517
SPUS62458,13.407,7.947
SPUS56105,9.183,7.01
SPUS55313,7.115,5.85
SPUS55898,9.049,7.588
SPUS56438,15.42,15.585
SPUS63628,15.001,5.447
SPUS61567,6.118,6.153
SPUS47097,22.007,7.808
SPUS55493,12.83,7.575
SPUS42069,10.886,6.766
SPUS61581,21.657,5.139
SPUS56101,14.64,6.359
SPUS46249,5.644,6.388
SPUS54939,7.782,8.073
SPUS55372,6.292,7.9
SPUS54980,7.879,5.477
SPUS56450,11.188,7.231
SPUS61811,6.304,5.843
SPUS61323,6.765,6.959
SPUS45857,12.311,8.872
SPUS55702,7.236,5.823
SPUS62225,4.777,15.35
SPUS55459,11.926,6.2
SPUS45978,28.288,11.281
SPUS61371,20.022,9.22
SPUS62654,5.675,5.524
SPUS55760,11.986,6.955
SPUS61518,11.412,5.569
SPUS44045,8.81,19.609
SPUS45776,20.243,5.81
SPUS55846,13.185,9.925
SPUS55667,34.424,6.025
SPUS46488,5.062,6.262
SPUS62005,13.596,11.277
SPUS55077,17.522,7.659
SPUS61901,10.5,5.679
SPUS55790,5.486,7.201
SPUS61696,11.742,10.206
SPUS55677,5.661,6.694
SPUS62722,6.231,5.793
SPUS55342,8.925,5.428
SPUS46284,5.924,6.43
SPUS61545,5.272,8.06
SPUS55208,7.982,5.847
SPUS60880,6.299,5.125
SPUS46413,7.579,8.4
SPUS63999,33.677,13.427
SPUS55827,18.633,9.687
SPUS46397,14.734,5.968
SPUS62482,18.758,15.375
SPUS54826,5.592,8.029
SPUS63159,11.473,8.269
