registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS55557,10.632,5.92
SPUS63654,19.38,5.86
SPUS53075,11.629,14.617
SPUS55016,10.567,7.848
SPUS55623,10.394,6.876
SPUS62584,9.516,6.419
SPUS55026,8.578,6.045
SPUS55656,14.907,8.918
SPUS63912,9.304,7.817
SPUS56056,15.705,5.925
SPUS56452,11.724,6.169
SPUS45858,14.366,9.905
SPUS62275,11.176,5.524
SPUS55830,8.178,6.27
SPUS63637,13.948,8.778
SPUS45783,11.643,5.972
SPUS55946,8.798,5.848
SPUS61751,8.7,6.895
SPUS63743,9.631,21.766
SPUS46575,8.838,6.129
SPUS61369,9.807,6.663
SPUS55755,9.378,6.176
SPUS56306,14.758,6.634
SPUS61912,9.01,5.662
SPUS45788,10.993,8.468
SPUS61518,11.365,16.574
SPUS46500,9.669,6.288
SPUS54889,14.268,9.097
SPUS55397,15.428,5.616
SPUS47097,7.598,5.346
SPUS55568,10.892,6.958
SPUS55919,10.761,7.49
SPUS55643,8.053,6.531
SPUS62248,10.437,6.534
SPUS63784,9.069,25.919
SPUS61453,8.749,7.396
SPUS47277,21.39,15.461
SPUS56335,10.315,7.754
SPUS62722,11.293,17.325
SPUS62088,8.349,4.873
SPUS56394,8.193,20.93
SPUS54940,13.344,8.636
SPUS61398,10.708,64.279
SPUS63348,8.847,5.72
SPUS46287,11.916,7.035
SPUS61749,11.598,6.832
SPUS56080,20.734,10.297
SPUS46428,26.126,6.135
SPUS63653,11.041,6.352
SPUS56243,9.023,6.415
SPUS62462,10.443,6.294
SPUS55776,14.684,8.662
SPUS54773,23.457,9.9
SPUS54725,8.953,4.896
SPUS56200,8.83,7.127
SPUS63630,11.387,6.108
SPUS61584,10.601,8.829
SPUS55746,11.383,7.564
SPUS46319,8.821,8.445
SPUS61499,11.935,7.856
SPUS46974,11.554,55.553
SPUS61861,51.761,8.124
SPUS54776,9.24,14.952
SPUS55698,14.623,6.513
SPUS52118,9.515,6.117
SPUS54751,10.876,5.276
SPUS55187,8.721,5.152
SPUS46397,9.15,10.6
SPUS63890,14.981,6.283
SPUS46684,29.645,11.141
SPUS55029,10.373,6.034
SPUS61353,8.656,5.835
SPUS56488,13.744,6.034
SPUS55754,8.37,7.657
SPUS63873,9.44,9.18
SPUS55695,10.7,9.666
SPUS55086,13.192,6.567
SPUS47363,9.74,5.844
SPUS56045,8.591,5.29
SPUS61706,57.77,6.984
SPUS45972,10.434,14.774
SPUS61315,11.373,7.953
SPUS55134,9.552,7.223
SPUS56112,8.782,5.256
SPUS55259,9.714,5.869
SPUS60581,15.169,7.259
SPUS46045,10.088,20.153
SPUS54745,10.09,14.73
SPUS61536,45.462,6.696
SPUS63973,11.476,7.008
SPUS54982,12.676,5.765
SPUS46709,19.778,7.725
SPUS47397,9.947,5.793
SPUS63700,9.108,5.667
SPUS55781,9.755,11.876
SPUS56025,12.46,8.765
SPUS55564,11.697,5.931
SPUS63945,10.771,8.352
SPUS56326,7.923,5.094
