registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS54507,9.413,6.852
SPUS55119,9.377,5.433
SPUS55785,8.693,5.311
SPUS47251,8.883,5.148
SPUS46459,10.425,13.404
SPUS56292,45.762,6.665
SPUS62518,22.912,5.224
SPUS63724,23.88,10.49
SPUS45715,12.305,5.802
SPUS56196,9.813,9.034
SPUS55225,10.812,6.489
SPUS56306,10.009,7.841
SPUS54792,12.113,9.759
SPUS56218,11.894,5.807
SPUS62922,8.203,4.996
SPUS61359,9.539,5.3
SPUS55704,15.552,6.252
SPUS46500,10.688,6.31
SPUS46542,13.375,5.712
SPUS55553,13.411,6.547
SPUS62593,9.204,5.648
SPUS47160,10.113,6.77
SPUS56202,9.088,9.533
SPUS55249,10.464,9.139
SPUS61296,9.454,6.588
SPUS55164,11.148,6.346
SPUS55598,8.662,5.962
SPUS54863,9.677,6.173
SPUS55965,10.641,6.535
SPUS62458,10.846,7.366
SPUS61707,9.922,6.333
SPUS56105,9.779,7.151
SPUS55313,10.79,5.719
SPUS55898,9.723,5.536
SPUS56438,8.881,5.622
SPUS63628,12.569,8.096
SPUS61567,12.596,6.061
SPUS45926,94.999,6.054
SPUS47097,11.121,5.786
SPUS55493,14.239,6.948
SPUS42069,9.83,7.536
SPUS61581,9.846,8.804
SPUS56101,10.325,5.841
SPUS46249,8.719,8.131
SPUS55372,9.032,12.08
SPUS54980,9.023,5.24
SPUS61364,10.362,5.688
SPUS56450,9.311,6.104
SPUS61811,8.359,5.472
SPUS61323,22.006,4.789
SPUS45857,8.994,9.536
SPUS55702,7.987,4.931
SPUS62225,8.801,5.453
SPUS55459,8.382,5.316
SPUS45978,8.046,5.87
SPUS61371,8.574,4.88
SPUS62654,8.27,4.689
SPUS55760,8.737,5.317
SPUS61518,8.495,15.237
SPUS44045,8.427,5.346
SPUS45776,8.271,7.01
SPUS55846,7.139,76.461
SPUS55667,8.918,5.522
SPUS47456,7.731,51.949
SPUS46488,82.12,5.974
SPUS62005,8.862,5.95
SPUS55077,15.501,6.449
SPUS61901,8.891,4.62
SPUS55790,7.499,6.191
SPUS61696,9.416,5.55
SPUS55677,8.305,5.446
SPUS62722,8.683,5.226
SPUS55342,9.046,6.545
SPUS46284,9.97,5.064
SPUS61545,8.98,5.572
SPUS55208,9.222,5.117
SPUS60880,7.59,5.437
SPUS46413,31.056,7.305
SPUS63999,7.963,5.992
SPUS55827,8.388,5.525
SPUS46397,7.529,5.652
SPUS62482,8.793,5.521
SPUS54826,31.062,4.962
SPUS63159,8.651,4.885
SPUS61610,63.755,5.108
