registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS55557,7.027,7.52
SPUS63654,16.085,7.017
SPUS53075,8.007,12.872
SPUS55016,31.125,6.844
SPUS55623,6.728,8.06
SPUS62584,10.489,9.365
SPUS55026,9.915,7.557
SPUS55656,14.31,6.722
SPUS63912,14.345,7.041
SPUS56056,10.522,6.017
SPUS56452,5.558,6.717
SPUS45858,15.893,6.863
SPUS62275,6.37,15.507
SPUS55830,18.812,7.75
SPUS63637,11.758,5.413
SPUS45783,9.324,7.121
SPUS55946,8.437,6.35
SPUS61751,8.157,7.501
SPUS63743,6.559,11.549
SPUS46575,8.555,7.748
SPUS61369,14.817,7.37
SPUS55755,5.773,10.215
SPUS56306,13.757,6.976
SPUS61912,32.847,14.735
SPUS45788,11.632,8.433
SPUS61518,14.613,8.255
SPUS46500,8.363,12.447
SPUS54889,10.149,7.768
SPUS55397,18.612,7.987
SPUS47097,7.924,9.301
SPUS55568,13.425,5.977
SPUS55919,15.645,10.109
SPUS55643,9.484,7.049
SPUS62248,20.414,12.288
SPUS46211,12.395,10.083
SPUS63784,18.736,8.847
SPUS61453,8.147,7.394
SPUS47277,8.592,9.288
SPUS56335,11.368,8.582
SPUS62722,40.209,9.43
SPUS62088,28.163,9.974
SPUS56394,9.126,7.422
SPUS54940,9.488,7.926
SPUS61398,14.542,10.201
SPUS63348,8.874,7.743
SPUS46287,11.09,5.179
SPUS61749,12.525,8.5
SPUS56080,7.464,7.104
SPUS46428,20.169,8.272
SPUS63653,11.721,9.459
SPUS56243,7.493,9.251
SPUS62462,20.368,7.06
SPUS55776,6.316,7.083
SPUS54773,22.795,9.359
SPUS54725,12.765,13.555
SPUS56200,7.46,10.705
SPUS63630,10.28,8.492
SPUS61584,7.98,12.372
SPUS55746,23.518,7.704
SPUS46319,8.267,14.935
SPUS61499,15.074,8.569
SPUS46974,19.636,8.416
SPUS61861,12.215,16.27
SPUS54776,15.496,7.668
SPUS55698,16.029,6.192
SPUS52118,10.06,6.882
SPUS54751,9.427,7.608
SPUS55187,12.979,8.067
SPUS46397,10.67,10.415
SPUS63890,11.181,6.758
SPUS46684,9.982,9.92
SPUS55029,19.056,6.215
SPUS61353,8.339,7.663
SPUS55754,7.418,6.53
SPUS63873,9.285,7.466
SPUS55695,13.776,6.311
SPUS55086,27.601,10.877
SPUS47363,9.614,7.644
SPUS56045,15.48,7.722
SPUS61706,19.006,6.461
SPUS45972,10.249,6.351
SPUS61315,31.527,7.916
SPUS55134,8.861,8.474
SPUS56112,16.633,7.471
SPUS55259,15.332,5.756
SPUS60581,7.259,10.902
SPUS46045,24.793,6.632
SPUS54745,14.512,7.148
SPUS61536,13.191,12.909
SPUS63973,17.778,15.464
SPUS54982,18.258,8.048
SPUS47397,11.693,8.139
SPUS63700,5.978,6.943
SPUS55781,6.993,8.12
SPUS56025,24.167,7.753
SPUS55564,8.163,8.547
SPUS63945,12.396,7.189
SPUS56326,14.344,5.977
