registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS61704,11.617,5.852
SPUS47277,19.268,8.762
SPUS55727,10.328,6.622
SPUS56040,5.309,6.686
SPUS46974,8.055,14.6
SPUS55123,48.812,19.138
SPUS55193,7.374,12.22
SPUS61864,8.652,10.696
SPUS56341,12.653,13.09
SPUS55741,9.772,23.294
SPUS54900,7.157,5.677
SPUS54507,6.654,5.691
SPUS55119,6.906,7.213
SPUS55785,12.482,5.724
SPUS47251,8.053,8.609
SPUS46459,11.916,5.992
SPUS56292,4.972,7.553
SPUS62518,13.362,5.456
SPUS63724,5.947,6.664
SPUS45715,19.949,8.339
SPUS56196,9.585,5.289
SPUS55225,7.021,7.887
SPUS56306,37.871,7.514
SPUS54792,7.125,6.107
SPUS56218,8.866,6.282
SPUS62922,11.842,8.844
SPUS61359,9.722,9.035
SPUS55704,9.985,6.598
SPUS46500,10.564,7.366
SPUS46542,6.66,5.999
SPUS55553,6.663,6.96
SPUS62593,15.159,6.744
SPUS47160,9.074,7.231
SPUS56202,8.598,6.765
SPUS55249,8.798,14.288
SPUS61296,5.485,5.865
SPUS55164,13.71,6.998
SPUS55598,12.76,7.205
SPUS54863,6.342,6.728
SPUS55965,5.677,6.906
SPUS62458,18.338,6.198
SPUS61707,21.676,7.088
SPUS56105,22.413,5.863
SPUS55313,4.712,6.152
SPUS55898,13.965,6.41
SPUS56438,6.239,6.579
SPUS63628,11.775,9.653
SPUS61567,8.641,5.907
SPUS45926,6.513,5.917
SPUS47097,18.569,8.067
SPUS55493,14.854,8.744
SPUS42069,19.786,10.452
SPUS61581,17.344,7.966
SPUS56101,9.728,14.807
SPUS46249,12.254,5.336
SPUS54939,14.351,19.444
SPUS55372,33.054,20.726
SPUS54980,15.143,7.379
SPUS61364,8.334,6.19
SPUS56450,7.039,9.805
SPUS61811,12.546,8.526
SPUS61323,7.605,6.152
SPUS45857,18.691,11.743
SPUS55702,8.651,7.738
SPUS62225,9.595,9.726
SPUS55459,13.081,14.124
SPUS45978,45.809,10.469
SPUS61371,8.205,15.271
SPUS62654,48.442,5.543
SPUS55760,10.598,8.909
SPUS61518,14.797,11.312
SPUS45776,7.968,11.138
SPUS55846,9.014,12.941
SPUS55667,16.567,7.56
SPUS46488,8.845,8.763
SPUS62005,7.623,9.474
SPUS55077,15.023,14.038
SPUS61901,18.822,7.859
SPUS55790,8.708,11.104
SPUS55677,16.951,14.315
SPUS62722,12.24,6.49
SPUS55342,21.681,9.845
SPUS46284,13.529,13.674
SPUS61545,24.995,7.298
SPUS55208,34.188,20.385
SPUS60880,22.317,7.486
SPUS46413,5.387,8.294
SPUS63999,8.966,13.378
SPUS55827,5.895,8.995
SPUS46397,11.736,9.08
SPUS62482,6.868,14.834
SPUS54826,18.089,5.868
SPUS61610,7.390,5.773
