registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS61704,8.017,5.578
SPUS56265,7.982,4.982
SPUS55727,7.562,5.024
SPUS56040,7.553,5.298
SPUS46974,9.529,4.894
SPUS55123,8.421,5.722
SPUS61864,9.191,4.975
SPUS55520,7.843,5.375
SPUS55741,8.14,4.853
SPUS55119,7.874,46.159
SPUS47251,8.72,4.919
SPUS46459,8.074,4.641
SPUS56292,7.544,4.768
SPUS62518,7.896,4.819
SPUS55225,7.642,4.726
SPUS56218,45.392,5.078
SPUS62922,7.744,5.052
SPUS61359,7.55,4.729
SPUS62593,9.235,4.771
SPUS47160,7.363,4.587
SPUS56202,9.393,5.812
SPUS55249,8.069,4.185
SPUS61296,9.934,4.657
SPUS55164,8.253,5.566
SPUS54863,7.417,4.599
SPUS55965,10.128,4.934
SPUS62458,15.595,4.879
SPUS61707,7.544,20.987
SPUS63628,8.717,4.677
SPUS45926,9.203,5.08
SPUS47097,7.865,4.661
SPUS55493,8.186,4.432
SPUS42069,53.08,4.876
SPUS56101,9.238,4.748
SPUS46249,8.226,6.0
SPUS54939,8.483,4.891
SPUS55372,8.305,15.44
SPUS62225,7.663,10.21
SPUS55459,8.867,4.669
SPUS45978,7.788,4.7
SPUS61518,8.335,4.396
SPUS45776,7.511,5.105
SPUS61696,8.504,6.337
SPUS55677,7.304,4.714
SPUS62722,8.115,4.793
SPUS55208,9.08,4.118
SPUS60880,7.426,4.267
SPUS46397,8.113,4.438
SPUS62482,8.367,4.731
SPUS63159,7.834,5.009
SPUS61610,7.015,4.654
