registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS61704,12.225,5.894
SPUS46974,8.231,6.167
SPUS61864,8.266,5.119
SPUS55520,8.215,5.313
SPUS55980,7.843,65.743
SPUS55785,39.161,24.739
SPUS46459,10.458,30.302
SPUS62518,8.514,4.922
SPUS45715,9.329,6.755
SPUS56196,11.073,6.257
SPUS56306,23.35,5.681
SPUS56218,9.15,9.257
SPUS61359,58.677,6.497
SPUS55704,13.968,8.197
SPUS46542,44.431,14.088
SPUS55553,9.464,4.994
SPUS62593,68.76,7.211
SPUS47160,8.95,5.474
SPUS61296,7.932,4.96
SPUS55164,8.929,6.186
SPUS55598,8.527,5.519
SPUS55965,11.746,6.869
SPUS62458,10.141,9.48
SPUS61707,14.984,5.134
SPUS56105,11.771,5.071
SPUS55898,15.369,5.559
SPUS45926,11.463,4.892
SPUS47097,18.062,5.828
SPUS61581,8.924,5.195
SPUS46249,62.272,6.169
SPUS55372,9.901,5.581
SPUS61364,10.685,4.17
SPUS56450,9.379,6.107
SPUS61811,8.604,4.778
SPUS45857,8.706,5.402
SPUS45978,8.846,5.906
SPUS55760,8.752,4.597
SPUS45776,8.667,4.92
SPUS55846,7.719,4.681
SPUS47456,8.466,4.826
SPUS62005,8.644,4.561
SPUS55077,7.884,4.59
SPUS61696,12.274,5.177
SPUS62722,8.107,9.254
SPUS55342,10.211,11.816
SPUS61545,18.054,4.58
SPUS55208,8.984,5.798
SPUS55827,9.142,4.877
SPUS62482,7.680,5.681
