registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS61704,15.253,6.737
SPUS47277,7.7,3.878
SPUS56265,7.755,4.743
SPUS55727,6.661,4.055
SPUS56040,11.544,4.072
SPUS46974,6.129,4.34
SPUS55123,10.416,3.839
SPUS55193,10.496,4.281
SPUS61864,11.658,3.618
SPUS56341,7.053,3.632
SPUS55520,6.123,4.667
SPUS55980,13.998,4.106
SPUS55741,15.29,4.263
SPUS54900,10.73,4.539
SPUS54507,13.453,6.87
SPUS55119,10.659,4.541
SPUS55785,9.141,5.893
SPUS47251,10.929,4.867
SPUS46459,7.995,4.25
SPUS56292,6.362,4.438
SPUS62518,8.787,2.953
SPUS63724,7.898,4.458
SPUS45715,10.32,3.526
SPUS56196,9.222,4.093
SPUS55225,11.107,2.749
SPUS56306,6.518,3.452
SPUS54792,13.353,4.34
SPUS56218,6.246,5.282
SPUS61359,9.572,3.94
SPUS55704,9.407,3.684
SPUS46500,17.305,4.738
SPUS46542,12.261,4.188
SPUS55553,11.162,4.576
SPUS62593,11.415,4.429
SPUS47160,5.554,5.109
SPUS56202,6.385,4.415
SPUS55249,5.468,3.993
SPUS61296,13.836,4.104
SPUS55164,4.573,3.541
SPUS55598,19.468,5.004
SPUS54863,11.194,3.901
SPUS55965,6.303,4.504
SPUS62458,7.643,4.158
SPUS61707,12.492,5.473
SPUS55313,6.358,3.999
SPUS55898,7.541,3.928
SPUS56438,6.429,5.24
SPUS63628,6.685,4.299
SPUS61567,8.398,3.11
SPUS45926,10.208,7.417
SPUS47097,10.893,5.892
SPUS55493,5.909,5.019
SPUS42069,6.386,4.438
SPUS61581,13.964,4.333
SPUS56101,8.507,4.065
SPUS55372,6.783,4.122
SPUS61364,10.002,4.131
SPUS56450,14.602,4.555
SPUS61811,12.34,4.02
SPUS61323,10.295,4.123
SPUS45857,4.022,4.729
SPUS62225,10.911,4.014
SPUS55459,6.242,3.83
SPUS45978,9.266,4.05
SPUS61371,6.034,4.107
SPUS62654,6.518,4.978
SPUS55760,8.333,3.93
SPUS61518,5.084,4.162
SPUS44045,6.108,3.316
SPUS55846,14.103,4.534
SPUS55667,4.317,4.009
SPUS62005,16.916,3.894
SPUS55077,13.59,4.366
SPUS61901,10.325,6.836
SPUS55790,5.127,3.969
SPUS55677,13.002,4.006
SPUS62722,9.478,4.995
SPUS55342,8.753,3.7
SPUS46284,11.037,4.064
SPUS61545,7.052,4.857
SPUS55208,11.367,4.401
SPUS60880,6.116,3.777
SPUS46413,6.68,4.091
SPUS63999,6.013,5.373
SPUS55827,9.882,4.543
SPUS46397,5.276,4.349
SPUS62482,8.001,5.182
SPUS54826,6.412,4.717
SPUS63159,7.689,4.135
SPUS61610,8.029,4.069
