registration_id,matcher1_critic_time_seconds,matcher2_time_seconds
SPUS61704,6.912,3.769
SPUS47277,17.759,4.06
SPUS56265,6.06,3.703
SPUS55727,3.955,3.997
SPUS56040,3.719,4.05
SPUS46974,6.153,3.885
SPUS55123,10.49,3.844
SPUS55193,4.374,4.551
SPUS61864,22.001,4.251
SPUS56341,5.733,3.817
SPUS55520,5.905,3.752
SPUS55980,17.246,5.218
SPUS55741,5.861,4.328
SPUS54900,5.88,3.966
SPUS54507,5.704,3.702
SPUS55119,9.503,3.911
SPUS55785,7.835,3.877
SPUS47251,14.257,6.809
SPUS46459,7.926,4.051
SPUS56292,5.291,3.274
SPUS62518,6.126,4.48
SPUS63724,5.609,3.947
SPUS45715,10.435,3.844
SPUS56196,9.724,4.24
SPUS55225,6.496,4.114
SPUS56306,12.109,3.08
SPUS54792,5.048,4.001
SPUS56218,12.014,4.016
SPUS62922,5.476,6.271
SPUS61359,6.659,3.943
SPUS55704,13.339,3.944
SPUS46500,6.751,3.962
SPUS46542,14.944,3.712
SPUS55553,7.656,4.369
SPUS62593,11.537,4.286
SPUS47160,8.922,4.268
SPUS56202,5.997,3.886
SPUS55249,7.051,5.803
SPUS61296,20.111,4.957
SPUS55164,5.981,3.84
SPUS55598,9.509,3.923
SPUS54863,7.162,3.758
SPUS55965,9.196,8.647
SPUS62458,4.958,4.325
SPUS61707,5.838,4.83
SPUS56105,7.477,4.696
SPUS55313,11.985,3.962
SPUS55898,4.043,5.071
SPUS56438,7.418,3.899
SPUS63628,3.843,4.155
SPUS61567,6.533,4.234
SPUS45926,11.649,4.401
SPUS47097,10.792,404.034
SPUS55493,8.969,5.158
SPUS42069,8.127,4.165
SPUS61581,8.095,5.126
SPUS46249,5.997,4.269
SPUS54939,7.602,4.02
SPUS55372,6.681,4.767
SPUS54980,11.88,4.379
SPUS61364,6.597,4.409
SPUS56450,11.12,3.142
SPUS61811,14.48,4.524
SPUS61323,7.44,5.648
SPUS45857,6.4,4.003
SPUS55702,7.559,4.042
SPUS62225,4.707,3.821
SPUS55459,3.978,6.856
SPUS45978,6.25,4.664
SPUS62654,5.364,3.732
SPUS55760,6.589,4.112
SPUS61518,4.503,5.081
SPUS44045,8.172,4.33
SPUS55846,8.891,4.356
SPUS55667,4.572,6.087
SPUS62005,7.82,4.249
SPUS55077,16.404,4.243
SPUS61901,18.158,6.016
SPUS55790,7.549,4.17
SPUS61696,7.144,4.291
SPUS55677,6.138,3.203
SPUS55342,5.615,6.193
SPUS46284,17.39,3.781
SPUS61545,12.307,4.256
SPUS55208,5.794,3.937
SPUS60880,7.553,6.283
SPUS46413,8.501,4.931
SPUS63999,7.761,4.494
SPUS55827,5.825,4.609
SPUS46397,7.731,5.294
SPUS62482,5.836,6.891
SPUS54826,4.088,3.328
SPUS63159,10.569,3.989
SPUS61610,13.922,3.868
